ImageNumber,ObjectNumber,FileName_Blue,FileName_FarRed,FileName_Green,FileName_Red,PathName_Blue,PathName_FarRed,PathName_Green,PathName_Red,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cytoplasm
1,21,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,548,342,386,218,460.1205143,264.570332,0,21,27
1,22,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,933,277,869,229,904.4406365,251.0587515,0,22,28
1,23,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,830,346,771,249,798.6644455,302.8986197,0,23,29
1,24,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,419,325,301,222,357.1313772,270.8710019,0,24,30
1,25,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,200,318,89,253,162.3794796,290.6126657,0,25,31
1,26,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,616,329,513,202,574.2373102,271.3084599,0,26,32
1,27,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,328,321,195,225,232.2462354,275.6330173,0,27,33
1,28,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,95,350,31,257,62.41050296,289.841716,0,28,35
1,29,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,657,423,585,289,620.8383924,358.4676785,0,29,37
1,30,r04c02f01p01-ch2sk1fk1fl1.tiff,r04c02f01p01-ch4sk1fk1fl1.tiff,r04c02f01p01-ch3sk1fk1fl1.tiff,r04c02f01p01-ch1sk1fk1fl1.tiff,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,D:\Phenix\EO_20190317_mCherryColocRep1__2019-03-17T18_04_08-Measurement 1\Images,244,391,164,314,200.5115664,340.538004,0,30,38
